nl_query,action,time,user,source,src_ip,hostname,severity,status_code,structured_query,event_ts
pull up auth success events by user alice the previous day in windows event log,success,yesterday,alice,windows,*,*,*,*,action=success user=alice source=windows earliest=@d-1d latest=@d,2025-10-03T01:02:26
pull up download events by user admin on db-prod-02 past week in auth log,download,last7d,admin,auth,*,db-prod-02,*,*,action=download user=admin source=auth hostname=db-prod-02 earliest=-7d@d latest=now,2025-10-02T12:23:26
display request events by user jsmith from ip 172.16.0.50 on load-balancer past week in event viewer,access,last7d,jsmith,windows,172.16.0.50,load-balancer,*,*,action=access user=jsmith source=windows src_ip=172.16.0.50 hostname=load-balancer earliest=-7d@d latest=now,2025-10-03T12:23:26
display failed login events from ip 172.16.0.50 on load-balancer last 30 days in secure shell,failure,last30d,*,ssh,172.16.0.50,load-balancer,*,*,action=failure source=ssh src_ip=172.16.0.50 hostname=load-balancer earliest=-30d@d latest=now,2025-09-23T12:23:26
pull up login events on web-server-01 past week in windows,login,last7d,*,windows,*,web-server-01,*,*,action=login source=windows hostname=web-server-01 earliest=-7d@d latest=now,2025-10-04T12:23:26
display upload events by user admin since yesterday in network security,upload,last24h,admin,firewall,*,*,*,*,action=upload user=admin source=firewall earliest=-24h latest=now,2025-10-03T21:23:26
find failed login events by user jsmith last 24 hours in db,failure,last24h,jsmith,database,*,*,*,*,action=failure user=jsmith source=database earliest=-24h latest=now,2025-10-03T13:23:26
show me failure events by user anonymous this week in auth log,error,last7d,anonymous,auth,*,*,*,*,action=error user=anonymous source=auth earliest=-7d@d latest=now,2025-10-03T12:23:26
list download events by user admin on firewall-01 today in windows,download,today,admin,windows,*,firewall-01,*,*,action=download user=admin source=windows hostname=firewall-01 earliest=@d latest=now,2025-10-04T06:26:26
list authentication events from ip 10.10.10.5 last hour in apache,login,last1h,*,web,10.10.10.5,*,*,*,action=login source=web src_ip=10.10.10.5 earliest=-60m latest=now,2025-10-04T12:01:26
display upload events by user root from ip 172.16.0.50 yesterday in host,upload,yesterday,root,host,172.16.0.50,*,*,*,action=upload user=root source=host src_ip=172.16.0.50 earliest=@d-1d latest=@d,2025-10-03T10:30:26
list sign off events by user jsmith last 30 days in web server,logout,last30d,jsmith,web,*,*,*,*,action=logout user=jsmith source=web earliest=-30d@d latest=now,2025-09-10T12:23:26
pull up error events by user root past week in firewall logs,error,last7d,root,firewall,*,*,*,*,action=error user=root source=firewall earliest=-7d@d latest=now,2025-10-04T12:23:26
display login failure events by user bob from ip 192.168.0.1 on firewall-01 last 30 days in firewall,failure,last30d,bob,firewall,192.168.0.1,firewall-01,*,*,action=failure user=bob source=firewall src_ip=192.168.0.1 hostname=firewall-01 earliest=-30d@d latest=now,2025-09-22T12:23:26
give me failed login events by user bob in the last 24 hours in network security,failure,today,bob,firewall,*,*,*,*,action=failure user=bob source=firewall earliest=@d latest=now,2025-10-04T10:43:26
give me warning authentication events by user alice last hour in network security,login,last1h,alice,firewall,*,*,warning,*,action=login user=alice source=firewall severity=warning earliest=-60m latest=now,2025-10-04T11:43:26
display sign off events by user admin yesterday in security log,logout,yesterday,admin,auth,*,*,*,*,action=logout user=admin source=auth earliest=@d-1d latest=@d,2025-10-03T19:07:26
pull up upload events by user anonymous the previous day in network security,upload,yesterday,anonymous,firewall,*,*,*,*,action=upload user=anonymous source=firewall earliest=@d-1d latest=@d,2025-10-03T16:03:26
display err download events from ip 10.10.10.5 on app-server-03 with status 403 past week in security log,download,last7d,*,auth,10.10.10.5,app-server-03,error,403,action=download source=auth src_ip=10.10.10.5 hostname=app-server-03 severity=error status_code=403 earliest=-7d@d latest=now,2025-10-01T12:23:26
display error restart events by user alice this month in server,restart,last30d,alice,host,*,*,error,*,action=restart user=alice source=host severity=error earliest=-30d@d latest=now,2025-09-11T12:23:26
list access events by user jsmith from ip 192.168.1.100 last 24 hours in db,access,last24h,jsmith,database,192.168.1.100,*,*,*,action=access user=jsmith source=database src_ip=192.168.1.100 earliest=-24h latest=now,2025-10-04T12:23:26
list file download events by user alice on app-server-03 past week in filesystem,download,last7d,alice,filesystem,*,app-server-03,*,*,action=download user=alice source=filesystem hostname=app-server-03 earliest=-7d@d latest=now,2025-10-03T12:23:26
find delete events since midnight in firewall logs,deletion,today,*,firewall,*,*,*,*,action=deletion source=firewall earliest=@d latest=now,2025-10-04T12:06:26
find upload events by user root this month in db,upload,last30d,root,database,*,*,*,*,action=upload user=root source=database earliest=-30d@d latest=now,2025-09-26T12:23:26
show me auth failure events by user bob from ip 10.10.10.5 on load-balancer last hour in network security,failure,last1h,bob,firewall,10.10.10.5,load-balancer,*,*,action=failure user=bob source=firewall src_ip=10.10.10.5 hostname=load-balancer earliest=-60m latest=now,2025-10-04T12:03:26
show me critical restart events by user admin on web-server-01 yesterday in filesystem,restart,yesterday,admin,filesystem,*,web-server-01,critical,*,action=restart user=admin source=filesystem hostname=web-server-01 severity=critical earliest=@d-1d latest=@d,2025-10-03T13:44:26
pull up crit access events by user root last 24 hours in host,access,last24h,root,host,*,*,critical,*,action=access user=root source=host severity=critical earliest=-24h latest=now,2025-10-04T08:23:26
show me restart events by user root with status 200 last hour in network security,restart,last1h,root,firewall,*,*,*,200,action=restart user=root source=firewall status_code=200 earliest=-60m latest=now,2025-10-04T11:54:26
pull up crit auth success events by user alice since yesterday in host,success,last24h,alice,host,*,*,critical,*,action=success user=alice source=host severity=critical earliest=-24h latest=now,2025-10-03T20:23:26
pull up file upload events by user alice from ip 10.0.0.1 this week in secure shell,upload,last7d,alice,ssh,10.0.0.1,*,*,*,action=upload user=alice source=ssh src_ip=10.0.0.1 earliest=-7d@d latest=now,2025-10-02T12:23:26
display service restart events past 60 minutes in apache,restart,last1h,*,web,*,*,*,*,action=restart source=web earliest=-60m latest=now,2025-10-04T12:15:26
give me error failed login events by user alice on db-prod-02 the previous day in ssh,failure,yesterday,alice,ssh,*,db-prod-02,error,*,action=failure user=alice source=ssh hostname=db-prod-02 severity=error earliest=@d-1d latest=@d,2025-10-03T16:01:26
display critical failed login events from ip 192.168.0.1 on load-balancer in the last 24 hours in authentication log,failure,today,*,auth,192.168.0.1,load-balancer,critical,*,action=failure source=auth src_ip=192.168.0.1 hostname=load-balancer severity=critical earliest=@d latest=now,2025-10-04T00:22:26
find upload events by user admin past 60 minutes in event viewer,upload,last1h,admin,windows,*,*,*,*,action=upload user=admin source=windows earliest=-60m latest=now,2025-10-04T12:02:26
show me logout events by user bob on load-balancer with status 200 this month in secure shell,logout,last30d,bob,ssh,*,load-balancer,*,200,action=logout user=bob source=ssh hostname=load-balancer status_code=200 earliest=-30d@d latest=now,2025-09-22T12:23:26
pull up download events by user anonymous with status 500 since yesterday in server,download,last24h,anonymous,host,*,*,*,500,action=download user=anonymous source=host status_code=500 earliest=-24h latest=now,2025-10-04T00:23:26
give me warn service restart events by user alice last hour in db,restart,last1h,alice,database,*,*,warning,*,action=restart user=alice source=database severity=warning earliest=-60m latest=now,2025-10-04T11:49:26
pull up info service restart events by user bob this month in firewall,restart,last30d,bob,firewall,*,*,info,*,action=restart user=bob source=firewall severity=info earliest=-30d@d latest=now,2025-09-15T12:23:26
show me err logins events by user bob with status 500 since midnight in nginx,login,today,bob,web,*,*,error,500,action=login user=bob source=web severity=error status_code=500 earliest=@d latest=now,2025-10-04T05:48:26
show me warn login events with status 500 this week in network security,login,last7d,*,firewall,*,*,warning,500,action=login source=firewall severity=warning status_code=500 earliest=-7d@d latest=now,2025-09-28T12:23:26
show me login failure events since yesterday in database,failure,last24h,*,database,*,*,*,*,action=failure source=database earliest=-24h latest=now,2025-10-03T21:23:26
display restart events by user anonymous on firewall-01 since yesterday in db,restart,last24h,anonymous,database,*,firewall-01,*,*,action=restart user=anonymous source=database hostname=firewall-01 earliest=-24h latest=now,2025-10-04T01:23:26
show me download events by user admin the previous day in host,download,yesterday,admin,host,*,*,*,*,action=download user=admin source=host earliest=@d-1d latest=@d,2025-10-03T12:14:26
give me file upload events by user root on web-server-01 this week in event viewer,upload,last7d,root,windows,*,web-server-01,*,*,action=upload user=root source=windows hostname=web-server-01 earliest=-7d@d latest=now,2025-10-04T12:23:26
show me upload events by user bob yesterday in file system,upload,yesterday,bob,filesystem,*,*,*,*,action=upload user=bob source=filesystem earliest=@d-1d latest=@d,2025-10-03T15:43:26
find informational file deletion events by user admin in the last 24 hours in file system,deletion,today,admin,filesystem,*,*,info,*,action=deletion user=admin source=filesystem severity=info earliest=@d latest=now,2025-10-04T02:41:26
list login failure events last 24 hours in server,failure,last24h,*,host,*,*,*,*,action=failure source=host earliest=-24h latest=now,2025-10-03T14:23:26
find error events by user jsmith since yesterday in firewall logs,error,last24h,jsmith,firewall,*,*,*,*,action=error user=jsmith source=firewall earliest=-24h latest=now,2025-10-04T09:23:26
list request events by user bob on load-balancer since yesterday in event viewer,access,last24h,bob,windows,*,load-balancer,*,*,action=access user=bob source=windows hostname=load-balancer earliest=-24h latest=now,2025-10-04T09:23:26
show me auth failure events by user root past 60 minutes in security log,failure,last1h,root,auth,*,*,*,*,action=failure user=root source=auth earliest=-60m latest=now,2025-10-04T12:08:26
find auth success events by user root in the last 24 hours in host,success,today,root,host,*,*,*,*,action=success user=root source=host earliest=@d latest=now,2025-10-04T10:23:26
show me auth failure events by user jsmith on load-balancer with status 500 yesterday in database,failure,yesterday,jsmith,database,*,load-balancer,*,500,action=failure user=jsmith source=database hostname=load-balancer status_code=500 earliest=@d-1d latest=@d,2025-10-03T23:36:26
show me request events by user anonymous yesterday in network security,access,yesterday,anonymous,firewall,*,*,*,*,action=access user=anonymous source=firewall earliest=@d-1d latest=@d,2025-10-03T14:14:26
list err restart events by user admin with status 200 past 60 minutes in filesystem,restart,last1h,admin,filesystem,*,*,error,200,action=restart user=admin source=filesystem severity=error status_code=200 earliest=-60m latest=now,2025-10-04T11:38:26
display login events by user root from ip 192.168.0.1 last 24 hours in filesystem,login,last24h,root,filesystem,192.168.0.1,*,*,*,action=login user=root source=filesystem src_ip=192.168.0.1 earliest=-24h latest=now,2025-10-03T13:23:26
give me emergency auth success events by user bob past 60 minutes in event viewer,success,last1h,bob,windows,*,*,critical,*,action=success user=bob source=windows severity=critical earliest=-60m latest=now,2025-10-04T11:44:26
give me file download events from ip 172.16.0.50 on web-server-01 last 24 hours in server,download,last24h,*,host,172.16.0.50,web-server-01,*,*,action=download source=host src_ip=172.16.0.50 hostname=web-server-01 earliest=-24h latest=now,2025-10-04T11:23:26
list file upload events from ip 192.168.0.1 last 30 days in windows event log,upload,last30d,*,windows,192.168.0.1,*,*,*,action=upload source=windows src_ip=192.168.0.1 earliest=-30d@d latest=now,2025-09-28T12:23:26
pull up critical upload events from ip 192.168.1.100 last hour in web server,upload,last1h,*,web,192.168.1.100,*,critical,*,action=upload source=web src_ip=192.168.1.100 severity=critical earliest=-60m latest=now,2025-10-04T11:57:26
give me upload events by user anonymous last 24 hours in server,upload,last24h,anonymous,host,*,*,*,*,action=upload user=anonymous source=host earliest=-24h latest=now,2025-10-03T18:23:26
display err logout events by user bob from ip 10.0.0.1 the previous day in security log,logout,yesterday,bob,auth,10.0.0.1,*,error,*,action=logout user=bob source=auth src_ip=10.0.0.1 severity=error earliest=@d-1d latest=@d,2025-10-03T23:16:26
pull up logout events by user bob on db-prod-02 with status 404 last 7 days in web server,logout,last7d,bob,web,*,db-prod-02,*,404,action=logout user=bob source=web hostname=db-prod-02 status_code=404 earliest=-7d@d latest=now,2025-10-04T12:23:26
show me logins events by user admin since midnight in event viewer,login,today,admin,windows,*,*,*,*,action=login user=admin source=windows earliest=@d latest=now,2025-10-04T12:10:26
give me restart events by user root past 60 minutes in database,restart,last1h,root,database,*,*,*,*,action=restart user=root source=database earliest=-60m latest=now,2025-10-04T12:22:26
pull up failure events by user alice last 30 days in ssh,error,last30d,alice,ssh,*,*,*,*,action=error user=alice source=ssh earliest=-30d@d latest=now,2025-09-29T12:23:26
display crash events by user bob the previous day in filesystem,error,yesterday,bob,filesystem,*,*,*,*,action=error user=bob source=filesystem earliest=@d-1d latest=@d,2025-10-03T02:45:26
give me crit login events by user anonymous last 24 hours in windows,login,last24h,anonymous,windows,*,*,critical,*,action=login user=anonymous source=windows severity=critical earliest=-24h latest=now,2025-10-04T12:23:26
pull up successful login events by user root from ip 192.168.1.100 last 24 hours in secure shell,success,last24h,root,ssh,192.168.1.100,*,*,*,action=success user=root source=ssh src_ip=192.168.1.100 earliest=-24h latest=now,2025-10-03T23:23:26
find file upload events by user bob past 60 minutes in file system,upload,last1h,bob,filesystem,*,*,*,*,action=upload user=bob source=filesystem earliest=-60m latest=now,2025-10-04T11:50:26
show me connection events by user anonymous from ip 10.0.0.1 with status 503 this week in auth log,access,last7d,anonymous,auth,10.0.0.1,*,*,503,action=access user=anonymous source=auth src_ip=10.0.0.1 status_code=503 earliest=-7d@d latest=now,2025-10-02T12:23:26
give me login events by user admin past week in authentication log,login,last7d,admin,auth,*,*,*,*,action=login user=admin source=auth earliest=-7d@d latest=now,2025-10-04T12:23:26
display file upload events by user alice with status 404 yesterday in network security,upload,yesterday,alice,firewall,*,*,*,404,action=upload user=alice source=firewall status_code=404 earliest=@d-1d latest=@d,2025-10-03T18:09:26
show me file deletion events by user jsmith past 60 minutes in firewall,deletion,last1h,jsmith,firewall,*,*,*,*,action=deletion user=jsmith source=firewall earliest=-60m latest=now,2025-10-04T11:29:26
list restart events by user admin with status 502 past week in machine,restart,last7d,admin,host,*,*,*,502,action=restart user=admin source=host status_code=502 earliest=-7d@d latest=now,2025-10-04T12:23:26
display logins events by user jsmith last hour in host,login,last1h,jsmith,host,*,*,*,*,action=login user=jsmith source=host earliest=-60m latest=now,2025-10-04T12:01:26
find failed login events by user jsmith since yesterday in network security,failure,last24h,jsmith,firewall,*,*,*,*,action=failure user=jsmith source=firewall earliest=-24h latest=now,2025-10-03T19:23:26
give me auth failure events by user admin from ip 10.10.10.5 since yesterday in machine,failure,last24h,admin,host,10.10.10.5,*,*,*,action=failure user=admin source=host src_ip=10.10.10.5 earliest=-24h latest=now,2025-10-03T13:23:26
display file upload events by user root on web-server-01 since yesterday in nginx,upload,last24h,root,web,*,web-server-01,*,*,action=upload user=root source=web hostname=web-server-01 earliest=-24h latest=now,2025-10-03T18:23:26
pull up logout events by user alice on db-prod-02 this month in authentication log,logout,last30d,alice,auth,*,db-prod-02,*,*,action=logout user=alice source=auth hostname=db-prod-02 earliest=-30d@d latest=now,2025-09-15T12:23:26
give me auth success events by user anonymous with status 403 the previous day in firewall logs,success,yesterday,anonymous,firewall,*,*,*,403,action=success user=anonymous source=firewall status_code=403 earliest=@d-1d latest=@d,2025-10-03T02:30:26
list failure events past week in web server,error,last7d,*,web,*,*,*,*,action=error source=web earliest=-7d@d latest=now,2025-10-03T12:23:26
display critical sign off events by user bob from ip 172.16.0.50 last 24 hours in authentication log,logout,last24h,bob,auth,172.16.0.50,*,critical,*,action=logout user=bob source=auth src_ip=172.16.0.50 severity=critical earliest=-24h latest=now,2025-10-04T11:23:26
show me err restart events by user root last 7 days in nginx,restart,last7d,root,web,*,*,error,*,action=restart user=root source=web severity=error earliest=-7d@d latest=now,2025-09-28T12:23:26
list download events last 7 days in db,download,last7d,*,database,*,*,*,*,action=download source=database earliest=-7d@d latest=now,2025-09-29T12:23:26
give me warn error events by user alice with status 502 this week in secure shell,error,last7d,alice,ssh,*,*,warning,502,action=error user=alice source=ssh severity=warning status_code=502 earliest=-7d@d latest=now,2025-10-04T12:23:26
pull up access events by user bob on load-balancer since yesterday in ssh,access,last24h,bob,ssh,*,load-balancer,*,*,action=access user=bob source=ssh hostname=load-balancer earliest=-24h latest=now,2025-10-04T11:23:26
list err file deletion events by user bob with status 500 in the last 24 hours in network security,deletion,today,bob,firewall,*,*,error,500,action=deletion user=bob source=firewall severity=error status_code=500 earliest=@d latest=now,2025-10-04T02:37:26
display successful login events by user jsmith this week in file system,success,last7d,jsmith,filesystem,*,*,*,*,action=success user=jsmith source=filesystem earliest=-7d@d latest=now,2025-10-02T12:23:26
show me service restart events with status 404 yesterday in machine,restart,yesterday,*,host,*,*,*,404,action=restart source=host status_code=404 earliest=@d-1d latest=@d,2025-10-03T06:19:26
show me login failure events by user alice this month in database,failure,last30d,alice,database,*,*,*,*,action=failure user=alice source=database earliest=-30d@d latest=now,2025-09-27T12:23:26
pull up failure events by user admin on load-balancer past week in nginx,error,last7d,admin,web,*,load-balancer,*,*,action=error user=admin source=web hostname=load-balancer earliest=-7d@d latest=now,2025-10-01T12:23:26
find logins events by user alice from ip 10.0.0.1 with status 500 this month in network security,login,last30d,alice,firewall,10.0.0.1,*,*,500,action=login user=alice source=firewall src_ip=10.0.0.1 status_code=500 earliest=-30d@d latest=now,2025-09-16T12:23:26
display file download events by user root with status 500 this week in file system,download,last7d,root,filesystem,*,*,*,500,action=download user=root source=filesystem status_code=500 earliest=-7d@d latest=now,2025-09-29T12:23:26
display sign off events by user bob with status 403 this month in secure shell,logout,last30d,bob,ssh,*,*,*,403,action=logout user=bob source=ssh status_code=403 earliest=-30d@d latest=now,2025-09-13T12:23:26
find upload events on load-balancer with status 404 since yesterday in authentication log,upload,last24h,*,auth,*,load-balancer,*,404,action=upload source=auth hostname=load-balancer status_code=404 earliest=-24h latest=now,2025-10-04T12:23:26
find file download events by user jsmith last 30 days in firewall,download,last30d,jsmith,firewall,*,*,*,*,action=download user=jsmith source=firewall earliest=-30d@d latest=now,2025-09-05T12:23:26
show me logout events by user anonymous on firewall-01 with status 503 today in apache,logout,today,anonymous,web,*,firewall-01,*,503,action=logout user=anonymous source=web hostname=firewall-01 status_code=503 earliest=@d latest=now,2025-10-04T09:57:26
find sign off events by user admin on db-prod-02 this week in security log,logout,last7d,admin,auth,*,db-prod-02,*,*,action=logout user=admin source=auth hostname=db-prod-02 earliest=-7d@d latest=now,2025-10-02T12:23:26
give me informational login events by user admin on app-server-03 this month in apache,login,last30d,admin,web,*,app-server-03,info,*,action=login user=admin source=web hostname=app-server-03 severity=info earliest=-30d@d latest=now,2025-09-10T12:23:26
display err upload events by user root on firewall-01 with status 500 last 7 days in filesystem,upload,last7d,root,filesystem,*,firewall-01,error,500,action=upload user=root source=filesystem hostname=firewall-01 severity=error status_code=500 earliest=-7d@d latest=now,2025-10-02T12:23:26
list request events by user anonymous on firewall-01 last 30 days in database,access,last30d,anonymous,database,*,firewall-01,*,*,action=access user=anonymous source=database hostname=firewall-01 earliest=-30d@d latest=now,2025-09-29T12:23:26
find logout events by user admin in the last 24 hours in apache,logout,today,admin,web,*,*,*,*,action=logout user=admin source=web earliest=@d latest=now,2025-10-04T00:32:26
display logout events by user admin from ip 192.168.1.100 this month in nginx,logout,last30d,admin,web,192.168.1.100,*,*,*,action=logout user=admin source=web src_ip=192.168.1.100 earliest=-30d@d latest=now,2025-09-17T12:23:26
show me warn file download events by user anonymous the previous day in apache,download,yesterday,anonymous,web,*,*,warning,*,action=download user=anonymous source=web severity=warning earliest=@d-1d latest=@d,2025-10-03T17:55:26
display service restart events by user alice from ip 10.0.0.1 on web-server-01 with status 502 yesterday in apache,restart,yesterday,alice,web,10.0.0.1,web-server-01,*,502,action=restart user=alice source=web src_ip=10.0.0.1 hostname=web-server-01 status_code=502 earliest=@d-1d latest=@d,2025-10-03T05:34:26
display failed login events by user root last 24 hours in ssh,failure,last24h,root,ssh,*,*,*,*,action=failure user=root source=ssh earliest=-24h latest=now,2025-10-04T11:23:26
find file upload events on web-server-01 last 7 days in machine,upload,last7d,*,host,*,web-server-01,*,*,action=upload source=host hostname=web-server-01 earliest=-7d@d latest=now,2025-09-29T12:23:26
pull up upload events by user bob from ip 172.16.0.50 on web-server-01 last 30 days in windows event log,upload,last30d,bob,windows,172.16.0.50,web-server-01,*,*,action=upload user=bob source=windows src_ip=172.16.0.50 hostname=web-server-01 earliest=-30d@d latest=now,2025-09-28T12:23:26
pull up failure events by user admin from ip 10.0.0.1 with status 503 since midnight in host,error,today,admin,host,10.0.0.1,*,*,503,action=error user=admin source=host src_ip=10.0.0.1 status_code=503 earliest=@d latest=now,2025-10-04T10:01:26
show me connection events by user jsmith on load-balancer today in firewall logs,access,today,jsmith,firewall,*,load-balancer,*,*,action=access user=jsmith source=firewall hostname=load-balancer earliest=@d latest=now,2025-10-04T03:31:26
pull up delete events by user admin on app-server-03 this month in network security,deletion,last30d,admin,firewall,*,app-server-03,*,*,action=deletion user=admin source=firewall hostname=app-server-03 earliest=-30d@d latest=now,2025-09-24T12:23:26
display emergency delete events by user bob on db-prod-02 last 7 days in network security,deletion,last7d,bob,firewall,*,db-prod-02,critical,*,action=deletion user=bob source=firewall hostname=db-prod-02 severity=critical earliest=-7d@d latest=now,2025-10-01T12:23:26
list restart events by user admin the previous day in event viewer,restart,yesterday,admin,windows,*,*,*,*,action=restart user=admin source=windows earliest=@d-1d latest=@d,2025-10-03T16:02:26
display warn failed login events by user alice the previous day in security log,failure,yesterday,alice,auth,*,*,warning,*,action=failure user=alice source=auth severity=warning earliest=@d-1d latest=@d,2025-10-03T05:41:26
show me crash events by user admin last 30 days in security log,error,last30d,admin,auth,*,*,*,*,action=error user=admin source=auth earliest=-30d@d latest=now,2025-10-04T12:23:26
display request events with status 403 last hour in event viewer,access,last1h,*,windows,*,*,*,403,action=access source=windows status_code=403 earliest=-60m latest=now,2025-10-04T11:41:26
give me informational crash events by user bob with status 404 last hour in database,error,last1h,bob,database,*,*,info,404,action=error user=bob source=database severity=info status_code=404 earliest=-60m latest=now,2025-10-04T11:48:26
pull up file upload events by user admin from ip 10.10.10.5 with status 502 past week in database,upload,last7d,admin,database,10.10.10.5,*,*,502,action=upload user=admin source=database src_ip=10.10.10.5 status_code=502 earliest=-7d@d latest=now,2025-10-02T12:23:26
list critical login events from ip 10.10.10.5 since midnight in auth log,login,today,*,auth,10.10.10.5,*,critical,*,action=login source=auth src_ip=10.10.10.5 severity=critical earliest=@d latest=now,2025-10-04T12:45:26
pull up error events by user anonymous last 24 hours in file system,error,last24h,anonymous,filesystem,*,*,*,*,action=error user=anonymous source=filesystem earliest=-24h latest=now,2025-10-03T23:23:26
list upload events by user admin from ip 172.16.0.50 the previous day in authentication log,upload,yesterday,admin,auth,172.16.0.50,*,*,*,action=upload user=admin source=auth src_ip=172.16.0.50 earliest=@d-1d latest=@d,2025-10-03T15:27:26
find failed login events by user root since midnight in filesystem,failure,today,root,filesystem,*,*,*,*,action=failure user=root source=filesystem earliest=@d latest=now,2025-10-04T01:36:26
display access events by user admin on web-server-01 yesterday in event viewer,access,yesterday,admin,windows,*,web-server-01,*,*,action=access user=admin source=windows hostname=web-server-01 earliest=@d-1d latest=@d,2025-10-03T11:01:26
display delete events by user alice from ip 10.0.0.1 last hour in apache,deletion,last1h,alice,web,10.0.0.1,*,*,*,action=deletion user=alice source=web src_ip=10.0.0.1 earliest=-60m latest=now,2025-10-04T11:41:26
pull up authentication events by user bob from ip 172.16.0.50 yesterday in event viewer,login,yesterday,bob,windows,172.16.0.50,*,*,*,action=login user=bob source=windows src_ip=172.16.0.50 earliest=@d-1d latest=@d,2025-10-03T10:04:26
show me restart events by user jsmith on app-server-03 yesterday in filesystem,restart,yesterday,jsmith,filesystem,*,app-server-03,*,*,action=restart user=jsmith source=filesystem hostname=app-server-03 earliest=@d-1d latest=@d,2025-10-03T16:24:26
pull up failed login events by user jsmith the previous day in ssh,failure,yesterday,jsmith,ssh,*,*,*,*,action=failure user=jsmith source=ssh earliest=@d-1d latest=@d,2025-10-03T19:45:26
list successful login events by user root with status 200 since yesterday in file system,success,last24h,root,filesystem,*,*,*,200,action=success user=root source=filesystem status_code=200 earliest=-24h latest=now,2025-10-03T14:23:26
pull up access events with status 502 since yesterday in ssh,access,last24h,*,ssh,*,*,*,502,action=access source=ssh status_code=502 earliest=-24h latest=now,2025-10-04T08:23:26
find delete events by user root from ip 192.168.1.100 the previous day in server,deletion,yesterday,root,host,192.168.1.100,*,*,*,action=deletion user=root source=host src_ip=192.168.1.100 earliest=@d-1d latest=@d,2025-10-03T15:49:26
show me login events by user bob on load-balancer with status 403 today in database,login,today,bob,database,*,load-balancer,*,403,action=login user=bob source=database hostname=load-balancer status_code=403 earliest=@d latest=now,2025-10-04T12:47:26
pull up delete events by user anonymous from ip 10.10.10.5 on db-prod-02 yesterday in windows event log,deletion,yesterday,anonymous,windows,10.10.10.5,db-prod-02,*,*,action=deletion user=anonymous source=windows src_ip=10.10.10.5 hostname=db-prod-02 earliest=@d-1d latest=@d,2025-10-03T03:37:26
list file deletion events by user admin with status 404 last 30 days in event viewer,deletion,last30d,admin,windows,*,*,*,404,action=deletion user=admin source=windows status_code=404 earliest=-30d@d latest=now,2025-09-15T12:23:26
show me download events by user root in the last 24 hours in ssh,download,today,root,ssh,*,*,*,*,action=download user=root source=ssh earliest=@d latest=now,2025-10-04T08:02:26
display informational download events by user root last 24 hours in firewall,download,last24h,root,firewall,*,*,info,*,action=download user=root source=firewall severity=info earliest=-24h latest=now,2025-10-03T13:23:26
give me restart events by user admin in the last 24 hours in db,restart,today,admin,database,*,*,*,*,action=restart user=admin source=database earliest=@d latest=now,2025-10-04T04:07:26
find crit successful login events by user root on firewall-01 with status 404 last 30 days in file system,success,last30d,root,filesystem,*,firewall-01,critical,404,action=success user=root source=filesystem hostname=firewall-01 severity=critical status_code=404 earliest=-30d@d latest=now,2025-09-05T12:23:26
show me download events by user jsmith with status 403 past 60 minutes in security log,download,last1h,jsmith,auth,*,*,*,403,action=download user=jsmith source=auth status_code=403 earliest=-60m latest=now,2025-10-04T11:59:26
find successful login events by user bob from ip 192.168.1.100 on db-prod-02 with status 404 in the last 24 hours in network security,success,today,bob,firewall,192.168.1.100,db-prod-02,*,404,action=success user=bob source=firewall src_ip=192.168.1.100 hostname=db-prod-02 status_code=404 earliest=@d latest=now,2025-10-04T03:26:26
list file download events by user admin this month in db,download,last30d,admin,database,*,*,*,*,action=download user=admin source=database earliest=-30d@d latest=now,2025-09-12T12:23:26
find request events by user bob on firewall-01 since yesterday in file system,access,last24h,bob,filesystem,*,firewall-01,*,*,action=access user=bob source=filesystem hostname=firewall-01 earliest=-24h latest=now,2025-10-04T09:23:26
pull up sign off events by user anonymous from ip 192.168.1.100 past 60 minutes in firewall,logout,last1h,anonymous,firewall,192.168.1.100,*,*,*,action=logout user=anonymous source=firewall src_ip=192.168.1.100 earliest=-60m latest=now,2025-10-04T11:29:26
give me emergency file deletion events by user jsmith last hour in db,deletion,last1h,jsmith,database,*,*,critical,*,action=deletion user=jsmith source=database severity=critical earliest=-60m latest=now,2025-10-04T12:18:26
give me err upload events by user anonymous with status 403 last hour in network security,upload,last1h,anonymous,firewall,*,*,error,403,action=upload user=anonymous source=firewall severity=error status_code=403 earliest=-60m latest=now,2025-10-04T12:10:26
show me informational login events by user bob from ip 192.168.0.1 on app-server-03 with status 403 past week in file system,login,last7d,bob,filesystem,192.168.0.1,app-server-03,info,403,action=login user=bob source=filesystem src_ip=192.168.0.1 hostname=app-server-03 severity=info status_code=403 earliest=-7d@d latest=now,2025-10-03T12:23:26
list logout events by user anonymous last 24 hours in firewall logs,logout,last24h,anonymous,firewall,*,*,*,*,action=logout user=anonymous source=firewall earliest=-24h latest=now,2025-10-03T22:23:26
display upload events last hour in machine,upload,last1h,*,host,*,*,*,*,action=upload source=host earliest=-60m latest=now,2025-10-04T11:35:26
display request events by user alice last 30 days in host,access,last30d,alice,host,*,*,*,*,action=access user=alice source=host earliest=-30d@d latest=now,2025-09-27T12:23:26
list restart events from ip 10.0.0.1 this week in ssh,restart,last7d,*,ssh,10.0.0.1,*,*,*,action=restart source=ssh src_ip=10.0.0.1 earliest=-7d@d latest=now,2025-09-29T12:23:26
